user_number,problem_hash,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics,age,gender,years_music_making,years_formal_instruc,hours_per_week_music,ai_text_tools_usage,ai_music_tools_used,ai_music_tools_freq
2,bc812733-b45b-4d2b-9,일렉트릭스러운 악기 남성 보컬의 추임새 변칙적인 구성과 신나는 드럼 비트,,신나는,남성 보컬|드럼,일렉트릭스러운,,추임새|변칙적인 구성|비트,,25 - 34,남성,5,1,0,매일 또는 주에 여러번,네,월 1회 이하
2,9c7e479a-5c4d-46d9-8,"재즈스럽고 부드러운 여성 보컬, 잔잔하고 아침에 듣기 좋은 조용하고 편안한 피아노 반주",재즈,잔잔한|조용한|편안한,여성 보컬|피아노,부드러운,아침에 듣기 좋은,반주,,25 - 34,남성,5,1,0,매일 또는 주에 여러번,네,월 1회 이하
2,813d9197-3774-4fbd-9,"어둡고 신나는 힙합 붐뱁 비트, 묵직한 무게감이 느껴지는 남성 보컬의 랩",힙합|붐뱁,어둡고 신나는,남성 보컬|랩,묵직한 무게감이 느껴지는,,비트,,25 - 34,남성,5,1,0,매일 또는 주에 여러번,네,월 1회 이하
2,6cff0016-0d2e-4199-9,"컨트리스러운 서부 느낌의 기타 리드, 중년 남성이 떠오르는 남성 보컬의 목소리",컨트리,서부 느낌,기타 리드|남성 보컬,중년 남성이 떠오르는,,,,25 - 34,남성,5,1,0,매일 또는 주에 여러번,네,월 1회 이하
2,6fdab3ec-7a58-4272-8,"편안하고 차분한, 부드럽고 몽환적인 배경음과 변칙적인 드럼, 남성 보컬의 조용한 목소리",,편안하고 차분한,드럼|남성 보컬,부드럽고 몽환적인|조용한,배경음,변칙적인,,25 - 34,남성,5,1,0,매일 또는 주에 여러번,네,월 1회 이하
2,7536c885-e926-4f7e-b,"edm스러운 규칙적인 드럼 비트와 전자악기 소리, 시끄럽지 않지만 신나는 분위기, 팝스러운 여성 보컬",edm|pop,신나는,드럼|전자악기|여성 보컬,시끄럽지 않은,,규칙적인 비트,,25 - 34,남성,5,1,0,매일 또는 주에 여러번,네,월 1회 이하
2,291b2f9c-c41b-4ab8-9,"듣기 편안하고 신나는 기타 반주와 컨트리스러운 남성 보컬, 규칙적인 드럼 소리",컨트리스러운,듣기 편안하고|신나는,기타|남성 보컬|드럼,,,반주|규칙적인,,25 - 34,남성,5,1,0,매일 또는 주에 여러번,네,월 1회 이하
2,4ae99a8d-f134-4966-a,"록, 일렉 기타와 키보드 소리, 남성 보컬의 목소리가 잘 들리는 노래, 신나고 하이틴스러운 분위기",록,신나는|하이틴스러운,일렉 기타|키보드|남성 보컬,,,,,25 - 34,남성,5,1,0,매일 또는 주에 여러번,네,월 1회 이하
2,4cd02c55-36e8-46dd-9,"록, 일렉 기타와 드럼 소리가 신나는 분위기를 만들고 가벼운 남성 보컬의 목소리가 잘들리는 음악",록,신나는,일렉 기타|드럼|남성 보컬,가벼운|잘들리는,,,,25 - 34,남성,5,1,0,매일 또는 주에 여러번,네,월 1회 이하
3,8b21762a-c0c3-449e-8,미국권 컨트리 음악을 강하게 연상시키는 이 친근하고 경쾌한 음악은 마치 미국의 서부극에서 카우보이가 부르는 듯한 분위기를 만든다.,컨트리,친근한|경쾌한,,,,,미국|서부극|카우보이,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
3,97e26fe2-d45a-46b2-8,마치 속삭이는듯한 여성 보컬과 저음 진동?의 리듬은 도시의 밤을 연상케하는 어두운 분위기를 만든다.,,어두운,여성 보컬,속삭이는듯한|저음 진동,,리듬,도시의 밤,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
3,788859af-9004-4587-b,"느리고 반복적인 리듬과 백그라운드 싱어의 존재, 강한 어투가 묻어나는 감미로운 남성 보컬은 1980년대의 (비영어권)유럽 히트곡들을 연상케 한다",,감미로운,백그라운드 싱어|남성 보컬,강한 어투,,느리고 반복적인 리듬,1980년대의 비영어권 유럽 히트곡들을 연상케 한다,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
3,55300023-5c40-490e-9,"20세기의 뮤지컬이 연상되는 여성 보컬, 효과음, 백그라운드 음악. 마치 무대에서 공연하는듯한 소리가 극장/디즈니 영화 같은 당찬 분위기를 만든다.",뮤지컬,당찬,여성 보컬|효과음,무대에서 공연하는듯한,백그라운드 음악|극장|디즈니 영화 같은,20세기의,,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
3,6067225b-504a-46e1-8,"유로비트가 강하게 연상되는 비트, 가사, 매우 빠른 리듬이 상당히 빠른 템포의 노래를 만든다. 마치 레이싱을 하는것같다",유로비트,,,,,매우 빠른 리듬|상당히 빠른 템포,가사|레이싱을 하는것같다,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
3,304f77ae-6961-4c73-b,"EDM 느낌의 비트와 현대적인 효과음, 후크 부분으로 추정되는 반복적이고 중독적인 노래. 클럽에 있는 분위기를 내는 경쾌한 무드가 위주다",edm,경쾌한,,현대적인,클럽,비트|반복적이고 중독적인|후크,,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
3,42ef4a9a-164f-480e-9,저음 위주의 일렉 기타 소리와 함께 절박한 느낌의 남성 솔로 보컬. 반복적인 리듬과 저음의 조화로 매우 우중충한 분위기가 남,,절박한|우중충한,일렉 기타|남성 솔로 보컬,저음 위주의,,반복적인 리듬|저음의 조화,,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
3,45aa2509-8554-4bf3-8,전형적인 록 밴드의 거친 분위기가 강하게 느껴지는 노래. 강력한 일렉기타 소리와 드럼 난타와 거친 보컬은 록 밴드 공연을 직관하는 뜨거운 분위기를 만든다,록,뜨거운,일렉기타|드럼|보컬,거친|강력한,공연,,전형적인 록 밴드,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
3,04834f9a-eb2e-48b4-9,"감미로운 남성 보컬와 기타 소리의 조화, 아련한 리듬과 효과음은 현대적인 해석이 들어간 (영어권)컨트리 음악을 연상케 한다.",컨트리,아련한,남성 보컬|기타|효과음,감미로운|현대적인,,리듬|조화,영어권,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
3,0e4f6e42-e8a1-4618-9,웅장한 오케스트라가 마치 극장 바로 앞에서 직관하는듯한 분위기를 만든다. 웅장하고도 감미로운 클래식 음악은 마치 압도적인 자연 풍경을 앞둔것 같다,클래식,웅장한|감미로운|압도적인,오케스트라,,,,극장 바로 앞에서 직관하는듯한 분위기|자연 풍경,18 - 24,남성,0,2,0,매일 또는 주에 여러번,아니오,
4,ee070cac-0af1-4d86-9,여성 보컬의 팝 음악. 밴드 악기와 보컬이 잘 어우러져있고 노래를 잘 하는 보컬이 특징인 음악.,팝,,여성 보컬|밴드 악기|보컬,,,잘 어우러져있는,,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
4,e66caf62-70ce-418a-8,남성 랩퍼의 영어 랩. 어두운 느낌의 비트와 무거운 느낌의 랩이 특징인 음악.,rap,어두운,남성 랩퍼,무거운,,비트,영어 랩,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
4,e0aea9d2-f3fe-4e97-a,영어 남성 보컬의 랩 음악. 전형적인 올드스쿨 힙합 비트에 80년대 힙합 뮤비가 생각나는 음악.,랩|올드스쿨 힙합|80년대 힙합,,남성 보컬,,,전형적인 비트,영어|힙합 뮤비가 생각나는,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
4,86bd408c-0cf2-4f86-a,신나는 댄스음악. 쉬운 맬로디와 반복적인 맬로디로 드라이브할때 라디오에서 나올 것 같은 음악.,댄스음악,신나는,,,드라이브할때 라디오에서 나올 것 같은 음악,쉬운 멜로디|반복적인 멜로디,,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
4,82297794-bd7d-4718-9,영화음악 느낌의 오케스트라 곡. 신비롭고 웅장한 분위기 현악기와 분위기를 고조시키는 관악기가 특징인 곡.,,신비로운|웅장한,오케스트라|현악기|관악기,,영화음악,분위기를 고조시키는,,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
4,75bc4c3d-4d24-4d21-a,신나는 EDM 음악. 천천히 진행되는 빌드업과 클럽이나 드라이브가 생각나는 음악.,edm,신나는,,,클럽|드라이브,천천히 진행되는 빌드업,,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
4,6dfa3eea-e6cf-46fb-a,어두운 느낌의 펑크 록 음악. 가죽 자켓 입은듯한 밴드가 그려지는 음악.,펑크 록,어두운 느낌,,,,,가죽 자켓 입은듯한 밴드,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
4,754c7a3c-64af-4a19-8,신나는 테크노 음악. 로봇 소리같은 보컬과 신나는 드럼 그리고 좌 우 를 오가는 전자 악기 소리가 특징.,테크노,신나는,보컬|드럼|전자 악기,로봇 소리같은,,좌 우 를 오가는,,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
4,33858c28-6c40-43d6-9,기타 연주곡. 80년대 배경의 할리우드 영화에 등장할법한 오토바이 주행 씬이 생각나는 음악.,,,기타,,80년대 배경의 할리우드 영화,연주곡,오토바이 주행 씬,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
4,3a5cb7e8-d45f-481e-b,신나는 비트와 허스키한 여성 보컬이 특징인 음악. 패스티벌장에서 나올것 같은 느낌의 음악.,,신나는,여성 보컬,허스키한,패스티벌장,비트,,25 - 34,남성,24,24,2,매일 또는 주에 여러번,네,매일 또는 주에 여러번
5,c7af0ea9-f546-4f26-b,"약간은 복잡한 멜로디를 쓰면서도 이상하지는 않은, 특이한 감성이 느껴지는 남성 밴드음악, 후반부에 남성 보컬과 백킹 보컬들이 존재함",밴드음악,특이한 감성,남성 보컬|백킹 보컬,,,약간은 복잡한 멜로디|후반부,,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
5,b81b00c3-f3c4-4ba7-8,"다소 빠르면서도 컨트리 음악 느낌이 나는 남성 보컬 곡, 보컬이 여러겹이 쌓여있어서 보컬튠 느낌이 나는 것이 특징",컨트리,,남성 보컬,보컬튠 느낌,,다소 빠른|보컬이 여러겹이 쌓여있는,,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
5,ae86cd19-fca5-4ad7-b,여름과 스포츠에 어울릴듯한 신나고 거칠면서도 청량한 느낌의 남성 밴드 곡,,신나는,남성 밴드,거친|청량한,스포츠,,여름,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
5,5de77170-9628-498c-8,"피아노, 베이스, 드럼으로 경쾌하게 시작하는 오래된 음질의 재즈 보컬 음악, 두명의 보컬중 고음 파트의 보컬은 중성적임",재즈,경쾌하게,피아노|베이스|드럼|재즈 보컬|두명의 보컬|고음 파트 보컬,오래된 음질의|중성적임,,,,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
5,61375a85-29d0-4b45-9,약간 올드한 느낌이 나는 강한 킥을 베이스로 하는 드럼과 전자음으로 구성된 남성 밴드 곡,,약간 올드한 느낌,강한 킥을 베이스로 하는 드럼|전자음|남성 밴드,,,,,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
5,754ad4a8-b85d-430a-8,"세련되면서도 재미있는 스타일의 남성 팝송, 기타, 드럼, 신디로 사운드가 채워지며 곡 안에서 다양한 구간이 나눠짐",팝송,재미있는,남성 보컬|기타|드럼|신디,세련된,,사운드가 채워지는|다양한 구간이 나눠짐,,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
5,31e86412-c270-4bcb-8,남성 보컬들과 일렉기타와 드럼이 메인 악기로 구성된 신나고 빠른 밴드곡,밴드곡,신나는,남성 보컬들|일렉기타|드럼,,,빠른,,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
5,0f2e29c0-780e-45ae-b,"터프한 남성 랩으로 구성된 신나는 힙합곡, 비트와 적절한 추임새가 인상적임",힙합,신나는,남성 랩,터프한,,비트|적절한 추임새,,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
5,1fcc61c5-7033-469e-9,"신선한 전자음을 메인으로 구성된, 다채로운 음정이 사용되고 터프하면서도 힙한 곡",,힙한,전자음,신선한|터프한,,다채로운 음정,,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
5,1fce4fac-fe02-42f3-9,유럽의 밤거리 속에 있는 재즈바에서 연주될 법한 몽환적이면서도 우수에 젖은 곡,재즈,우수에 젖은,,몽환적인,재즈바에서 연주될 법한,,유럽의 밤거리,25 - 34,남성,22,7,3,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,e7de29c9-e9dd-4a06-a,잔잔한 반복적인 배경 음악이 있고 남자가 노래하기 보다는 말하는 것에 가까움.,,잔잔한,남성 보컬,,배경 음악,반복적인,말하는 것에 가까운 보컬,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,be9d0001-9386-4d1a-b,"클래시컬한 반복적인 바이올린 연주 위에 노래하는 여자. 연주는 빠르지만, 노래는 느리다.",클래시컬한,,바이올린|여자 보컬,,,반복적인|빠른 연주|느린 노래,,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,b63b2d28-ca13-4ae8-b,신비로운 분위기를 연출하는 잔잔한 음악. 소리의 변화가 별로 없는 것이 특징. 영화에서 자연을 나타낼 때 쓸 법 한 음악.,,신비로운,,잔잔한,영화|자연을 나타낼 때,소리의 변화가 별로 없는,,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,a6971245-b52e-472d-a,굉장히 강한 일렉 기타가 특징. 드럼과 남성 강한 목소리의 남성 보컬도 나옴.,,,일렉 기타|드럼|남성 보컬,굉장히 강한|강한 목소리,,,,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,9481c38d-df7b-42cc-b,영화에서 웅장한 분위기를 연출할 때 사용될 법한 음악. 처음에는 조용하다가 점점 소리가 고조되는게 특징.,,웅장한,,,영화,처음에는 조용하다가 점점 소리가 고조되는,,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,8138a78a-f4ba-4f69-b,슬픈 분위기의 클래시컬한 연주. 영화에서 슬픈 장면을 모샤할 때 나올 법함.,클래시컬,슬픈,,,영화,연주,슬픈 장면,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,7606dd90-1f55-4f82-8,"힙합/랩 장르의 노래. 남자의 빠르게 랩하다가 느리게 랩한다. 느린 랩, 빠른 랩 순으로 진행되며, 각 부분의 가사가 똑같다.",힙합|랩,,남성 랩,,,빠르게 랩하다가 느리게 랩한다|느린 랩 빠른 랩 순으로 진행|각 부분의 가사가 똑같다,,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,6eec1cc9-81f9-40d3-9,남자가 소리지르 듯이 노래하고 실제로 소리도 질름. 강한 일렉 기타가 있고 록 음악 같음.,록,,남성 보컬|일렉 기타,강한,,,소리지르듯이 노래|실제로 소리도 지름,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,42f15631-a541-4b30-8,굉장히 강한 남성 목소리와 일렉 기타. 일렉 기타는 애니메이션 전투씬에서 나올 법함.,,굉장히 강한,남성 목소리|일렉 기타,,애니메이션 전투씬,,,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
6,25e7176b-dcd9-4b4b-8,"다양한 여성의 목소리가 나오는 오묘한 분위기의 노래. 배경의 반복적인 비트가 있지만, 한 여성의 목소리가 항상 노래의 포커스다.",,오묘한 분위기,다양한 여성의 목소리|한 여성의 목소리,,,반복적인 비트,,18 - 24,남성,0,0,0,매일 또는 주에 여러번,네,한두 번 사용해 봤지만 정기적으로 사용하지 않음
7,246bf3fe-a489-4545-a,피아노 선율을 배경으로 여성 보컬이 너와 나 사이의 관계를 다루는 음악,,,피아노|여성 보컬,,배경,선율,너와 나 사이의 관계,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
7,f5e3d294-de4a-4be3-9,영화의 클라이막스에 나올법하며 대규모 전투 배경음악에 어울리는 웅장한 오케스트라 음악으로 몰입감을 높여주고 있음,오케스트라,웅장한,,,영화의 클라이막스|대규모 전투 배경음악,,,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
7,ea2b91c4-07d0-45b2-b,강렬한 락 음악으로 드럼과 기타소리가 보컬과 함께 어우러지며 애절한 느낌을 줌,락,애절한,드럼|기타|보컬,강렬한,,,,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
7,df09d518-7cb4-43d2-b,랩 음악으로 벨소리와 같은 배경음악이 보컬 뒤에서 포인트를 주어 박자를 타게 함,랩,,보컬,벨소리와 같은,배경음악,박자를 타게 함,,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
7,9a2bd396-3954-4d40-b,프랑스어로 생각되는 남자 보컬이 처음 듣는 스타일의 음악 스타일로 노래하고 있음,,,남자 보컬,,,,프랑스어 가사,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
7,56ea63b7-77b6-401b-a,스트릿 음악으로 생각되는 랩으로 반복되는 배경 속에 남성 보컬이 랩을 이어나가고 있음,스트릿 음악|랩,,남성 보컬,,배경,반복되는,,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
7,45b5e210-3659-4726-9,매우 강렬한 락 스타일로 시작하여 경쾌한 비트가 주를 이루는 음악,락,,,매우 강렬한,,경쾌한 비트,,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
7,4e733c89-a6a1-4094-8,신비한 전자음을 배경으로 여성 보컬이 함께 신비롭게 노래하며 도시에서의 생활을 다루고 있음,,신비한|신비롭게,전자음|여성 보컬,,배경,,도시에서의 생활,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
7,04a39cf5-a7c3-4d9b-8,1900년대 째즈풍의 음악으로 헨리 8세 왕을 주제로 하는 보컬이 함께 등장함,째즈풍,,보컬,,,1900년대,헨리 8세 왕,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
7,12c3b33c-37c3-42e9-b,정글이 생각나는 다양한 신비한 효과음을 배경으로 강력한 여성 보컬이 랩을 하고 있는 음악,랩,신비한,여성 보컬|효과음,강력한,배경음악,,정글이 생각나는,25 - 34,남성,2,4,0,매일 또는 주에 여러번,아니오,
8,db477bec-7b99-4ca2-8,"두 남자가 서로 마줘보고 앉아서 걍 그윽히
쳐다봄. 그냥 지친듯함",,그윽한|지친듯한,,,,,두 남자가 서로 마주보고 앉아 쳐다봄,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
8,cdb23f80-6a13-4777-8,넷플릭스 로맨스 시리즈에 나올법한 전형적인 백그라운드 뮤직. 베드신으로 이어지는 노래 근데 막 explicit 하지는 않은 약간에 소프트한,,로맨틱한|소프트한,,,넷플릭스 로맨스 시리즈|백그라운드 뮤직,,베드신으로 이어지는|explicit 하지는 않은,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
8,b7aa837e-a53b-4f8a-9,그건…나였어…! 끝 하고 이제 엔딩 장면 놔야됨. 그리고 배우들끼리 엔딩 크레뎃 옆에서 서루 춤추는 장면 나와야함,,,,,엔딩 장면|엔딩 크레딧,,그건 나였어|배우들끼리 춤추는 장면,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
8,959ae3b5-07a9-464c-8,하하.. 그랬구만.근데 뭐가 중요하지 결국엔.. 하고 이제 하하하 웃으면서 길거리를 걸어가는 20대 남자아이가 보임.,,,,,,,20대 남자아이|웃으면서 길거리를 걸어가는,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
8,8235499a-b4cf-4189-9,예를들어 분노의 질주 맴버들이 그래 사우디로 가자! 해서 사우디로 가는 장면. 이제 거기서 폭탄 해체할 수 있는 코드가 들어있는 장비를 찾기위해 화련한 옷을 입고 클럽에 들어감. 카지노가 보임,,,,,,,,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
8,77c467d4-d021-4b6e-b,미국 대형/트럭 자동차 광고 음악. 석양이 보이고 하얀자동차가 사막을 지나가는 영상과 털이 덥수룩한 남자가 나옴,,,,,,,,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
8,2b52b4c3-c6fb-47b5-b,와우 난 짱 멋쪙:)!! 할 것 같은 여주가 자신감을 얻어서 막 뛰어댕기는 장면이 나와야함,,,,,,,,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
8,2eb94ad9-fe4a-4c6e-9,흑인 백인둘이서 사견을 해결하기 위해 갱단이 활동히는 구역에 돌아댕기는 신,,,,,,,흑인 백인 둘이 사견을 해결하기 위해 갱단이 활동하는 구역을 돌아다니는 장면,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
8,34c793a1-0af4-469e-9,동양 영화나 시리즈에서 대레 나올법한 유러피안 노래. 상반된 느낌의 장면이 나와야함. 누가 누굴 죽이는 장면이라던가 고독히 쓸쓸하게 죽어갈때,유러피안,상반된 느낌의|고독히|쓸쓸하게,,,영화|시리즈,,누가 누굴 죽이는 장면|죽어가는 장면,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
8,3c41851f-03a5-464c-9,2000년대 초반에 만든 8/90년대 노래. 디스코풍에 옛스러운 고풍 머리스타일을 한 남자가 나와서 춤출 것 같음,디스코,,,옛스러운|고풍,춤출 것 같음,2000년대 초반|8/90년대,머리스타일을 한 남자,18 - 24,남성,5,1,10,매일 또는 주에 여러번,아니오,
9,f8439571-23e6-4c8a-9,"^\s*(\S+\s+){9,}\S+\s*$",,,,,,,,18 - 24,남성,14,3,0,매일 또는 주에 여러번,아니오,
9,e89bff81-fa30-4d94-8,6-70년대를 배경으로 한 컨트리풍 음악의 정수. 텍사스의 사막 지대 한가운데에 있는 국도 변의 오래된 다이너에서 나올 법한 음악.,컨트리풍,,,,배경,,6 70년대|텍사스의 사막 지대|국도 변의 오래된 다이너,18 - 24,남성,14,3,0,매일 또는 주에 여러번,아니오,
9,d2c86c3d-07fc-4390-8,약간의 우울증을 앓는 미국 대학생이 땅거미가 지는 저녁 때 즈음 캠퍼스를 떠나 다운타운을 정처없이 떠돌다 지하도로 내려가는 계단에 걸터앉아 마리화나를 피면서 들을 것 같은 노래,,약간의 우울증,,,,,미국 대학생|땅거미가 지는 저녁|캠퍼스를 떠나 다운타운을 정처없이 떠돎|지하도로 내려가는 계단에 걸터앉음|마리화나를 피면서 들을 것 같은 노래,18 - 24,남성,14,3,0,매일 또는 주에 여러번,아니오,
