person_id,url,original_udio_prompt,description,similarity
R_3hzlgRTW9l5Bkim,https://udio.com/songs/6eec1cc9-81f9-40d3-9466-38f5f89748f3,"AlienAPI whispering messages into the Human Hosts Brain., hard rock, guitar, male vocalist, heavy metal, electric guitar, album rock,",Sounds like punk metal with electric guitar and drums. A guy is more screaming than singing. ,0.472
R_3hzlgRTW9l5Bkim,https://udio.com/songs/7279ca60-c53e-4913-a8b0-70c2e902048b,"60s baroque pop about Mister Muffin, whimsical, britpop, male vocals, backing vocals",I hear different beats maybe by drums and guitar and like a trombone or something. There is a male singer and its upbeat it sounds like an older song.,0.3463
R_3hzlgRTW9l5Bkim,https://udio.com/songs/291b2f9c-c41b-4ab8-9161-d4214259419b,a jimmy buffet style tropical song about two cats lili and boomer enjoying the tradewinds and listening to the birds,"I hear acoustic guitar, maybe some sort of trombone or something in it (i don't know the differences between those kinds of instruments). It sounds country.",0.2846
R_3hzlgRTW9l5Bkim,https://udio.com/songs/2b52b4c3-c6fb-47b5-b47e-43b4b40f75d4,"a bright fun pop song jingle with female sung lyrics ""lonsborough motor service - right here for you""",There is upbeat beats and a woman singing in a high pitch tone with background vocals. At some points it sounds like her voice gets distorted.,0.2998
R_3hzlgRTW9l5Bkim,https://udio.com/songs/3f9b3ba7-7b13-4d04-87d6-fe1b2a1f6278,"Theme tune for the Game of Beef board-game, vocal, tv themes,","I hear multiple vocals mainly male, I think? And violin is playing and it sounds like a musical song.",0.31
R_3hzlgRTW9l5Bkim,https://udio.com/songs/43d604bc-f7ba-45f9-aa36-d2d25d4dd236,"Lara my mother in law, smoking benson hedges in Loveland Colorado. Loves coors light and Taylor’s port. , country, oldies,",I hear guitar music and it's a guy and girl country duet that has guy background vocals.,0.217
R_3hzlgRTW9l5Bkim,https://udio.com/songs/45aa2509-8554-4bf3-88fb-e26a0bab1c69,"song about rubber ducks in the bath, heavy distorted guitar, deep bass, nu metal, rap rock",I hear electric guitar and drums. A guy is like screaming but not that hard and it sounds like punk but not the hard metal kind where they just scream.,0.3638
R_3hzlgRTW9l5Bkim,https://udio.com/songs/4edf7524-0d23-48f2-906a-ed5cc10c9197,Write a melodic yet comedic song with sombre tones about eating lots of sausage,"This song has drums, guitar, and bass. The lyrics are really weird, but it sounds like a rock song sung by a man with like an echoey back up.",0.3066
R_3hzlgRTW9l5Bkim,https://udio.com/songs/1c339881-c51b-4318-afa1-a64c22bebdad,"female vocalist, guitar, bass guitar, drums (drum set), uptempo, uplifting, anime soundtrack, melodic, j-rock, piano rock, upbeat, catchy, piano rock,",Electric music in a different language sang by multiple women. The tone is high pitched.,0.4103
R_3hzlgRTW9l5Bkim,https://udio.com/songs/1fce4fac-fe02-42f3-94ba-6c66c9cdccd2,"Title is something in the air, like Bonobo, electronic, club, house, dance, jazz, euro house,",I hear jazz music with a saxophone or something in it and some background beats.,0.3764
R_3hzlgRTW9l5Bkim,https://udio.com/songs/25e7176b-dcd9-4b4b-84bf-eff49700574a,"east coast hip hop, hip hop rnb and dance hall,",I hear different beats and guitar. There are multiple women singing and it's not calm but not upbeat.,0.3027
R_1s6zSyv0nAB2dza,https://udio.com/songs/ee070cac-0af1-4d86-95b3-5e692884fadc,"Country pop song, being young and moving on from your past, female vocalist, diva country, motivating, includes guitar solo",woman singing with guitars in the background. country kinda .,0.6038
R_1s6zSyv0nAB2dza,https://udio.com/songs/d2c86c3d-07fc-4390-8787-58a746e56d56,"A ambient trap song about chilling at the beach during a sunset, electronic, saxophone, synthesizer,","slow paced techno vibes, definitely uses a mixer, cool guy singing",0.3832
R_1s6zSyv0nAB2dza,https://udio.com/songs/bed541d5-46b8-4faa-b29f-c2c6bfc0d8d8,an r and b song about living in the countryside,"middle aged guy, seems like slow paced soul music. nice to the ears. ",0.3208
R_1s6zSyv0nAB2dza,https://udio.com/songs/bec6e67b-3c7f-4554-9a03-758697fe708e,A music replicating Italian new wave genre of the 80’s as it was Litfiba albums like “17 re” or “dsaparecido”.,"not english, fast paced, lots of instruments involved . .",0.3383
R_1s6zSyv0nAB2dza,https://udio.com/songs/9a30a0c9-b192-4113-bc71-6b6b57bf15cf,"A singer songwriter war protest song, seventies style, about a manicure set","country, slow paced, guitar involved, rustic in a sense .",0.1898
R_1s6zSyv0nAB2dza,https://udio.com/songs/957d1ef7-7bd1-4d9a-a682-cc6a55ef374e,"a song about forgiving someone that wronged you, pop, funk,","good laid back rhythm. young ladies singing, kinda like soul music",0.3541
R_1s6zSyv0nAB2dza,https://udio.com/songs/92374983-b2b0-41a7-ba34-c5a6913a6349,"old school soul, deep soul, traditional black gospel, r&b/soul, motown, southern soul,","1970s flavored, woman and man singing alternate of one another. ",0.3057
R_1s6zSyv0nAB2dza,https://udio.com/songs/86b81fdf-9b70-4200-a102-1dbe1d4bca69,"A song about going to the bar Oskars, alternative rock/pop rock,","not english. middle aged guy singing, good tune, good rhythm. j'ai pensé pour un second c'était francais, mais c'est pas",0.1733
R_1s6zSyv0nAB2dza,https://udio.com/songs/8399844f-3c3d-44c7-b5a3-6665e6725b4c,"Add male vocalist with Russian accent. A screaming incoherently punk song called ""5 minutes with Derrick""","HARD ROCK. i absolutely do not like this junk lol. punk rock stuff, can hardly understand it",0.2247
R_1s6zSyv0nAB2dza,https://udio.com/songs/814b22e6-1017-444c-b340-266dc3ee7712,Ariel de zeemeermin is ride out captain on her motorbike,"retro theme music, a bit of guitar, two guys singing, has a nice ring to it",-0.0123
R_1s6zSyv0nAB2dza,https://udio.com/songs/72dda986-55c6-450e-878e-bf0e6fdb5894,"a dark and sad country instrumental, acoustic guitar, slow, light drums, downtempo melancholic, (70 bpm), depressed,","slow beat, melodic, no singing, guitars playing atop one another.",0.611
R_1s6zSyv0nAB2dza,https://udio.com/songs/754c7a3c-64af-4a19-8dca-4887d96e6213,"compressor effect, electronic music, house music, technopop, chiptune, synthwave / electro, male vocalist, 1980s,",a good rhythm. some sort of artificial music (maybe techno)? cool techno voice,0.4874
R_1s6zSyv0nAB2dza,https://udio.com/songs/754e03f6-9cc8-4deb-ba29-8e0ef46dbb40,"A song about a friend named Alf, who is in love again. Being 49 year old",slower paced. multiple voices singing at the same time. a male lead singer. guitar involved. ,0.251
R_1s6zSyv0nAB2dza,https://udio.com/songs/2c080e35-5332-4784-a590-bbf9db7e765d,Song about total eclipse of sun using music of Louis Capaldi someone you love song,"lady singing, piano playing, high and low pitch, just depending",0.1988
R_1s6zSyv0nAB2dza,https://udio.com/songs/04a39cf5-a7c3-4d9b-8d32-4bfc6f316283,a song about Mark who feasts like a king. Sax solo. Blues.,"up beat a little. black guy singing with a raspy voice, talking about quail eggs? history embedded",0.2313
R_1s6zSyv0nAB2dza,https://udio.com/songs/0cd8226a-a270-4165-ace6-76a2329b4bd6,a country song sung by a man about shopping for a carpet cleaner that will remove cat fur from carpet,"country music. guitar, drums, good rhythm. good good music . .",0.2378
R_1s6zSyv0nAB2dza,https://udio.com/songs/0d11dd6d-73de-4101-a8e6-82cf77d7e589,write a slow down temp catchy riff that is heavy and easy to hum and tuned to c standard,"rock and roll. screaming while singing. can easily understand their words, tough to listen to",0.3429
R_1s6zSyv0nAB2dza,https://udio.com/songs/0f2e29c0-780e-45ae-b2b1-abb3c2c77c8a,"a day in the life of a kickboxing worrier, trap, rap, hiphop","rap style music. continued beat drops in the song, young guy talking about his life.",0.4462
R_1s6zSyv0nAB2dza,https://udio.com/songs/115645aa-6751-4e25-8329-75e66bc24490,A house song about finding a 20 in an old jacket,"techno themed, woman singing about a jacket, fast paced, . .",0.397
R_1s6zSyv0nAB2dza,https://udio.com/songs/22c95ed0-8f48-4e40-a66f-7268d33ad8d2,"escaping from a void where I am judged , pop, dark by billie Eilish","woman singing, light voice, gives billie eilish vibes . .",0.4516
R_6NbweNcCV5CfP3p,https://udio.com/songs/d8545371-3d1e-4271-86aa-72ba18a1b55a,"A song about fear of the speed of change future shock, acoustic guitar, lo-fi, female vocalist, Tracy Chapman",This music can be described as slow yet upbeat but it also has a nice vibe to it.,0.3941
R_6NbweNcCV5CfP3p,https://udio.com/songs/8b332c1e-f10e-4afc-a485-4b919b7e8f4f,"synthwave, saxophone, 2024, ambient, beautiful, electronic dance music, synthesizer, melancholic, melodic, male vocalist, about summer fading away,",This music can be described as slow yet has upbeat vibes.,0.4346
R_6NbweNcCV5CfP3p,https://udio.com/songs/ee0aa1b5-2bb6-4770-a51e-f2ea9e1c873f,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,",This music can be described as it has a very rock feeling to it as it begins. ,0.4077
R_6NbweNcCV5CfP3p,https://udio.com/songs/c21d9593-e7e4-41fe-baf4-4c1cc5b6ac4c,"Technical Death Metal, Progressive Metal, complex, heavy, male vocalist, melodic, aggressive, angry, energetic, epic, uncommon time signatures, 1995",This music is very strong and has some sort of rock component that is very interesting. ,0.4596
R_6NbweNcCV5CfP3p,https://udio.com/songs/ae86cd19-fca5-4ad7-b1e3-e02c71aae639,"punk, bouncy funk pop hit italian folk bombastic feels good",This music can be described as upbeat and it has a fast feeling. ,0.4843
R_6NbweNcCV5CfP3p,https://udio.com/songs/a817156f-977c-4a72-8ea5-10fbadfa7532,"Sad and slow grunge instrumental, 80bpm, 2000s production, (rick rubin), (modern sound),",This music can be described as slow and very melancholic.,0.4856
R_6NbweNcCV5CfP3p,https://udio.com/songs/9a496feb-6a67-4f22-abf9-a46b34ff68ba,"pop rock, electronic, rock, male rock lead, synth-pop, male vocalist, catchy chorus",This music can be described as having a deep and heavy feeling. ,0.3241
R_6NbweNcCV5CfP3p,https://udio.com/songs/959ae3b5-07a9-464c-8e16-9f9d4faccd02,"sad song sang by a man with a very nice voice., pop, indie,",This music can be described as it has a slow pace and different tone.,0.2827
R_6NbweNcCV5CfP3p,https://udio.com/songs/7606dd90-1f55-4f82-8970-ec55c9a05f80,starts as old school hiphop but morphs into uk drill,This music can also be described as heavy and sort of fast.,0.1604
R_6NbweNcCV5CfP3p,https://udio.com/songs/4fdeb871-5590-435c-88c2-c719ad43bf33,Minimalist analog electronic music with odd time signatures and abstract melodies,This music can be described as something that is dramatic.,0.3577
R_6NbweNcCV5CfP3p,https://udio.com/songs/53d73137-83c6-4e4f-ac78-85cf9b779e10,"A song about humanity doomed to end, rock, classic rock, guitar solos, dark ambient, slow rock,",This music can be described as slow and very paced.,0.4312
R_6NbweNcCV5CfP3p,https://udio.com/songs/65239b62-1cec-4b3a-9f6c-583a3ca80ff5,"A song about money, women, rockstar lifestyle, in the style of Playboi Carti",This music has a jazzy feeling that is very interesting yet it is slow.,0.2504
R_6NbweNcCV5CfP3p,https://udio.com/songs/7536c885-e926-4f7e-b25c-4660204a1226,A romanian song about going home after work. Pop song,I love how this music is very upbeat and it is also in a foreign language. ,0.4114
R_6NbweNcCV5CfP3p,https://udio.com/songs/2ec2f5f9-407c-41ea-a653-dc11db4eea1c,The rebasing blues. A song about a common software development issue. Modern electric blues.,This music can be described as upbeat and has a nice vibe.,0.3034
R_6NbweNcCV5CfP3p,https://udio.com/songs/32eeb9c6-e9d0-4ff1-8eae-50a7855aef13,"A viennese song about having eaten way too much. And tipps how to feel better, e.g. drinking Schnaps or Coffee.",This music can be described as very upbeat and has a country tune.,0.2877
R_6NbweNcCV5CfP3p,https://udio.com/songs/43eef8c0-03fb-483c-8016-de25f209881c,"A song about a smooth trombone solo, classical, orchestral, symphony, modern classical,",This music has an extremely melancholic and super dramatic feeling. ,0.2616
R_6NbweNcCV5CfP3p,https://udio.com/songs/479be710-4ceb-4509-8c44-55f981fa0637,"a song about my dog, jazz, swing, vocal jazz, easy listening,",This music can be described as it is beginning with a grand entry. ,0.3751
R_6NbweNcCV5CfP3p,https://udio.com/songs/4e5af4be-1277-4097-9c2c-5502aebc410a,"Upbeat Reggaeton dance party song with a drop and variety, heavy bass, rythmic, Bad Bunny, feid, daddy yankee, 2023",This music can be described as very upbeat and a funky feeling that is hyper.,0.4165
R_6NbweNcCV5CfP3p,https://udio.com/songs/04834f9a-eb2e-48b4-95d6-4e937dd2ad86,"A folk rock song about three working cocker spaniels name “Abby, Billie, and Punky”",This music can be described as very slow and calm.,0.2358
R_6NbweNcCV5CfP3p,https://udio.com/songs/05c85698-35f9-4ca9-a086-ce048852ec24,A jazz funk song about 4 middle aged men getting funky in New York City,I love how this music has blues and jazz vibes. It makes you want to swing.,0.4582
R_3Nfc65i2r2tIZ5l,https://udio.com/songs/f5e3d294-de4a-4be3-9205-88b28f85047d,"epic film score by hanz zimmer, rich orchestration, hybrid electronic, dark, suspenseful",This music can be described as dramatic and very classic.,0.4324
R_3Nfc65i2r2tIZ5l,https://udio.com/songs/e0aea9d2-f3fe-4e97-a7eb-e4e5bdc14489,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap",This music can be described as rock and it has a very upbeat tune.,0.2601
R_3Nfc65i2r2tIZ5l,https://udio.com/songs/bc7c0d0b-71ae-4afe-8c04-826ecf85c4c8,"Create music with k pop i dol newjeans style, and a meowing back groubd sound for a cute touch.",This music can be described as slow but it has a jazz tune.,0.2906
R_3Nfc65i2r2tIZ5l,https://udio.com/songs/b1c7f9c0-da77-440b-8ed9-6d5d7979ba3e,A Beatles style song about two little kittens named rookie and Coco,This music can be described as rock and it also a very upbeat tune.,0.1974
R_3Nfc65i2r2tIZ5l,https://udio.com/songs/9e8106ce-2e4a-450c-8653-66941bb3ad46,a fast-paced 90's influenced alt/indie song about tesla departures leaving.,This music can be described as slow rock and a different tone.,0.357
R_3Nfc65i2r2tIZ5l,https://udio.com/songs/88bf780d-da3b-440d-9031-fd948b1c0f00,"about an old soul trapped in a vehicle through the centuries, electronic, synthesizer, synth-pop, keyboard, horror, soundtrack Instrumental",This music can be described as dramatic and a bit sad.,0.4304
R_3Nfc65i2r2tIZ5l,https://udio.com/songs/837f7d1b-23e2-4a0f-8b8a-92a7c4669a41,"Song about the power of love of a couple, opera, male voice",This music can be described as very sad and melancholic.,0.1959
