rank,song_id,count,mean,std,url,prompt
54,9a2bd396-3954-4d40-b,7,0.4363,0.0524,,"guitar jazz, old french singer with south accent, sad ballade"
55,88bf780d-da3b-440d-9,6,0.4351,0.0976,,"about an old soul trapped in a vehicle through the centuries, electronic, synthesizer, synth-pop, keyboard, horror, soundtrack Instrumental"
56,d2bec18a-bac3-48cb-b,7,0.4341,0.1071,,"1985, funk, dance-pop, with male vocals in the style of Michael Jackson,"
57,8395a570-7ed2-4c0c-a,6,0.4325,0.1082,,"a song about freelancers working on artificial intelligence projects on freelancer.com , pop,"
58,5583d3b7-8692-4c18-8,7,0.4322,0.1499,,A Broadway musical about a duck tolling retriever named “Stryker” and two ginger cats named Chezzy and Scholes
59,42ef4a9a-164f-480e-9,6,0.4317,0.1846,,"A song about humanity doomed to end, rock, classic rock, guitar solos, dark ambient, slow rock,"
60,1fcc61c5-7033-469e-9,7,0.4276,0.0563,,"A Melodic drill/jersey club song that samples G-Funk. (Minimoog voyager synth, analog synthesizer, Sampling, G-Funk Piano, laid-back)."
61,0a1282d5-b306-49f4-b,6,0.424,0.0474,,"A song about programmer named Emmanuel who became disillusioned with the corporate world and became a baker., jazz, soul jazz,"
62,9a4d75e7-de00-4931-9,7,0.4234,0.1739,,A 90s hip hop rap about how fried chicken is the best food on the planet
63,01d43ee2-c6ff-4b66-a,7,0.4218,0.1484,,"contemporary r&b, soul jazz, female vocalist, smooth soul, r&b, pop soul, soul, Strong female vocals, funk,"
64,6dfa3eea-e6cf-46fb-a,6,0.4214,0.0494,,"A song about sexy Annie in Hong Kong , rock, alternative rock, indie rock,"
65,42f15631-a541-4b30-8,6,0.4211,0.0849,,"rock, pop rock, drums (drum set), classic rock, guitar, bass guitar, 80's, male vocalist, energetic, classic hard rock,"
66,7a83cea8-c6f4-4944-8,7,0.4205,0.116,,"pop, female vocalist, sarcastic, breakup, high school girl calls her ex-boyfriend melodramatic"
67,f87d8dbf-83a9-4c58-a,6,0.4192,0.0845,,"Love and loss in north west England , pop rock,"
68,54f0f9eb-f14f-4d8d-b,6,0.4172,0.1908,,"A song that will sooth my baby to sleep , blues, piano blues,"
69,fa94bad4-6431-40a7-9,6,0.4163,0.0704,,"hard bass drum, masculine male voice, latin, hip hop, raegetton"
70,6067225b-504a-46e1-8,6,0.4162,0.1136,,upbeat eurobeat song as heard in the anime Initial D
71,2b52b4c3-c6fb-47b5-b,7,0.4161,0.0708,,"a bright fun pop song jingle with female sung lyrics ""lonsborough motor service - right here for you"""
72,3c401ec0-d117-449d-a,5,0.4158,0.1285,,"A poor girl trying to make her way in life, r&b, hip hop, contemporary r&b,"
73,3a357ba5-4c78-432d-8,6,0.4147,0.1232,,"pop, a song with chinese traditional poems as its lyrics."
74,4cd02c55-36e8-46dd-9,6,0.4144,0.1442,,"van halen, led zeppelin, game music, energetic, 90s, something similar to van halens aint talking about love"
75,31e86412-c270-4bcb-8,6,0.4139,0.0706,,"punk, bouncy funk pop hit italian folk bombastic feels good"
76,8b21762a-c0c3-449e-8,6,0.4132,0.1043,,old country song about crowdstrike making all the computer go blue screen of death
77,0f2e29c0-780e-45ae-b,6,0.4127,0.0389,,"a day in the life of a kickboxing worrier, trap, rap, hiphop"
78,20752527-76a9-4e5a-b,6,0.411,0.076,,"a song inspired by Nicholas Roerich paintings, ambient, locrian mode"
79,7536c885-e926-4f7e-b,6,0.4099,0.0691,,A romanian song about going home after work. Pop song
80,d8545371-3d1e-4271-8,7,0.4085,0.0757,,"A song about fear of the speed of change future shock, acoustic guitar, lo-fi, female vocalist, Tracy Chapman"
81,75bc4c3d-4d24-4d21-a,6,0.4084,0.0893,,"Deep Electro House, amazing vocals, amazing voice, Uplifting, Futuristic, electropop, Complextro, 2024"
82,91f9b933-c02b-47df-9,7,0.4081,0.0639,,"bubblegum pop about imageboard culture, deep female vocalist alternative, happy, uplifting"
83,9e8106ce-2e4a-450c-8,6,0.4064,0.107,,a fast-paced 90's influenced alt/indie song about tesla departures leaving.
84,97674f07-7bc3-404e-9,6,0.4056,0.083,,"epic song about gogeta vs broly, heavy drums, epic guitar, piano, english"
85,a5ac307b-e75d-47b1-9,7,0.4047,0.1051,,"Grime, fast-paced, energetic, urban, aggressive, gritty, raw, intense, rhythmic, dynamic"
86,8235499a-b4cf-4189-9,6,0.4047,0.101,,"A german song about what elements you need to form proper sentences, electronic, electro,"
87,3c41851f-03a5-464c-9,7,0.4028,0.0476,,"A song about the benefits of Technology in Africa. , pop, traditional pop, electropop, euro house, dance-pop,"
88,65239b62-1cec-4b3a-9,7,0.4026,0.0471,,"A song about money, women, rockstar lifestyle, in the style of Playboi Carti"
89,1fc27a56-36f6-4a2b-9,6,0.4022,0.0435,,"A german song about what elements you need to form proper sentences, electronic, electro,"
90,ee0aa1b5-2bb6-4770-a,8,0.4001,0.2366,,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,"
91,6045b0b6-6270-465c-9,6,0.4,0.1156,,"spaghetti western, Twang guitar,Dwayne Eddie, train sounds in background, Birds squawking, wind blo"
92,a0ca57ef-9516-411f-a,6,0.3997,0.0421,,"a song about the serenity of early morning fishing, techno, ambient,"
93,4ae99a8d-f134-4966-a,6,0.3988,0.0655,,"Georgia Dobbins and William Garrett's song Please Mr. Postman, beat group, the 60's style"
94,e66caf62-70ce-418a-8,7,0.3981,0.1442,,"hip hop, song about having to eat the wrong brand of baked beans"
95,be9d0001-9386-4d1a-b,6,0.3974,0.1055,,"four piece classical quartet, somber and pensive, solo vocalist singing about being awake all night"
96,b0f6dcc3-7aeb-4d48-9,7,0.396,0.0655,,"a song about working in a print shop in houston texas , houston sticker is the name , hip hop,"
97,0cd8226a-a270-4165-a,7,0.3954,0.1003,,a country song sung by a man about shopping for a carpet cleaner that will remove cat fur from carpet
98,9481c38d-df7b-42cc-b,6,0.3944,0.0722,,Please Compose a symphony-like piece in style of Anton Bruckner 8th as a Film opening sequence
99,af1cb15b-e547-4e02-8,6,0.3925,0.102,,"hip hop, electronic, synthesizer, 2020, upbeat, serene, male vocalist, catchy, beautiful, melodic, uptempo, about amazing feeling of a theme park,"
100,df09d518-7cb4-43d2-b,6,0.3918,0.0767,,"melomandiz beats intro, rage phonk beat, playboi carti, mad 808s"
101,1acbac5c-f315-45df-8,6,0.3896,0.0971,,"female vocalist, r&b, alternative r&b, slow beats, hip hop, soul, contemporary r&b,"
102,346756fd-269e-4421-8,7,0.3859,0.0605,,"a song about the beauty of a multicultural festival, techno"
103,0825d51f-0845-4009-a,7,0.3839,0.1779,,a sentimental song about love that's lost and hope that it can be found again
104,0244da5b-f3c0-49b4-b,6,0.3837,0.0472,,A rap song in the style of Eminem with harpsichord. Fast 90s rap
105,16aa7d0d-3f35-4612-a,7,0.3823,0.1043,,"country, modern country, line dance, americana, that last summer night of vacation before you head back to daily life"
106,85c89132-e0ce-42d5-9,6,0.3823,0.1108,,"a song about coming home after a long time, pop, indie, bass, japanese rock"
107,0e4f6e42-e8a1-4618-9,6,0.3821,0.158,,"Instrumental orchestral, cinematic music about a girl and her Robot best friend"
108,22c95ed0-8f48-4e40-a,6,0.381,0.1243,,"escaping from a void where I am judged , pop, dark by billie Eilish"
109,5d465d7f-d93d-47f3-9,7,0.3808,0.0372,,a song about creating a computer vision algorithm in Bach and Beethoven style
110,bec6e67b-3c7f-4554-9,6,0.3807,0.0579,,A music replicating Italian new wave genre of the 80’s as it was Litfiba albums like “17 re” or “dsaparecido”.
111,81a13b0e-aa23-4618-9,7,0.3792,0.1282,,"hip hop, rap rock, pop, soul, funk, dance-pop, on life and loneliness with a catchy hook"
112,04a39cf5-a7c3-4d9b-8,6,0.379,0.0991,,a song about Mark who feasts like a king. Sax solo. Blues.
113,b7aa837e-a53b-4f8a-9,6,0.3764,0.2023,,"Electronic, Funky House, Electro, Electro house, Deep house, Funk, Vocalist"
114,bc812733-b45b-4d2b-9,6,0.3744,0.1246,,A big beat prodigy like song with the lyrics ‘it’s big old Ty in his EV automobile’
115,304f77ae-6961-4c73-b,6,0.3744,0.0982,,"synth-pop, house, about chicken on a stick and fish oil"
116,d69d66d4-df72-4002-8,6,0.374,0.0784,,"Amazing Grace, gospel, r&b, emotional, buildup, epic ending, orchestra, high violins, brass, film score, triumphant,"
117,876c1749-d348-48e6-a,6,0.3734,0.1193,,"Male vocalist, Rock, Alternative metal, Nu Metal, Electronica, Alternative rock, Glitch, Rap rock, Passionate, Bittersweet, Anthemic,"
118,27f40db1-6caa-4c04-a,6,0.3712,0.1113,,an old school hip song about finding a black bear swimming in the water during a canoe trip
119,7a6c8429-fbc7-4e0e-b,6,0.3686,0.0868,,"a song about mixing potions in oldschool runescape, rap rock,"
120,ea2b91c4-07d0-45b2-b,5,0.3681,0.0977,,"guitar, heavy, percussion, male vocalist, bass guitar, heavy metal, alternative metal, electric guitar, passionate, dark, angry,"
121,115645aa-6751-4e25-8,6,0.3619,0.057,,A house song about finding a 20 in an old jacket
122,af092e6b-dce4-4354-8,6,0.3614,0.0671,,"A song about hope for Nigeria's future, sang by a female artist"
123,86b81fdf-9b70-4200-a,7,0.3608,0.067,,"A song about going to the bar Oskars, alternative rock/pop rock,"
124,f8439571-23e6-4c8a-9,6,0.3595,0.0884,,"hip hop, hardcore hip hop, gangsta rap, east coast rap, west coast hip hop,"
125,6184d460-21d8-4a0c-b,7,0.3593,0.1006,,"A song by a boy band about his demons , pop rock,"
126,82297794-bd7d-4718-9,7,0.3573,0.0792,,Please Compose a symphony-like piece in style of Anton Bruckner 8th as a Film music for a bike-chase
127,566f7399-846c-4579-a,7,0.3569,0.0865,,A song about a tech consultancy called Red Badger. In the style of T bone walker
128,56487772-7530-4ead-a,6,0.3542,0.0756,,a song about losing my keys in the style of amy winehouse
129,df0117f3-743c-460c-9,6,0.3532,0.111,,"male vocalist, concept album, hard rock, warm, in the style of green day"
130,6cff0016-0d2e-4199-9,6,0.3531,0.1456,,"acoustic guitar, acoustic rock, male vocalists, blues rock, fingerstyle, singer-songwriter, folk-pop, electric guitar, pop rock, classic rock, contemporary pop/rock,"
131,2eb94ad9-fe4a-4c6e-9,6,0.353,0.1009,,A rap about architecture in the style of MF Doom
132,9a30a0c9-b192-4113-b,6,0.3501,0.1132,,"A singer songwriter war protest song, seventies style, about a manicure set"
133,291b2f9c-c41b-4ab8-9,6,0.3498,0.0528,,a jimmy buffet style tropical song about two cats lili and boomer enjoying the tradewinds and listening to the birds
134,7555871e-1973-49c5-b,5,0.3488,0.1945,,"psychedelic indie pop, sunset chill vibes, counter culture inspired by tame impala and tyler, the creator"
135,89fe259f-467e-4f79-9,6,0.3456,0.0452,,A psychedelic tinged post-punk song about destroying Bradford pear trees to protect the biodiversity of our ecosystem
136,c03a69e7-7bcb-4c85-b,6,0.3442,0.0782,,"Song about I can shake but can’t bake , Rock Musical, Standards, 1980s, duet"
137,93a18e93-3e7e-4dfb-9,6,0.342,0.1392,,"Americana, Country, Bluegrass, Melodic, Passionate, Lush, Rhythmic, male vocalist, anthemic, uplifting, pop, playful,"
138,7e425ed4-399b-4c72-a,7,0.3409,0.1709,,"rock, a teen age love affair in the style of Jim Steinman with heavy piano chords"
139,c243ba53-0eea-4dfd-b,6,0.3403,0.0639,,"Happy friendly gay pickle whose catchphrase is “I’m a pickle hear me roar”, heavy metal,"
140,4ad18a9e-43ea-4de2-b,6,0.34,0.0482,,"male vocalist, alternative/indie rock, punk rock, vocal harmonies, melodic, energetic, rebellious, marshall amp, drum fills, passionate, guitar, analog synthesizer,"
141,813d9197-3774-4fbd-9,6,0.3394,0.0181,,"You will leave, arabic, rap/hip-hop, political rap, new wave, synth-pop"
142,9c7e479a-5c4d-46d9-8,6,0.3388,0.0462,,A song about a secret I must keep style Norah jones
143,f190fc46-b387-4437-a,6,0.3384,0.1292,,"Make a song about a summer day, but make it bluesy with a little bit of hip-hop flare to it"
144,05c85698-35f9-4ca9-a,6,0.3371,0.1033,,A jazz funk song about 4 middle aged men getting funky in New York City
145,2ec2f5f9-407c-41ea-a,6,0.3347,0.1249,,The rebasing blues. A song about a common software development issue. Modern electric blues.
146,e0cf5438-5034-4112-8,6,0.3345,0.1216,,"A hip hop, reggaeton, greatest hits, eminem, pop rap, Kendrick Lamar, west coast hip hop song"
147,21ee8bb8-76c4-41d2-b,6,0.3342,0.0361,,"electronic, mixer boss bx 8, tech, 4/4 140 BMP, trance"
148,32eeb9c6-e9d0-4ff1-8,6,0.333,0.0695,,"A viennese song about having eaten way too much. And tipps how to feel better, e.g. drinking Schnaps or Coffee."
149,168acd2c-563d-4357-b,6,0.3328,0.0791,,Create a hip hop beat like 4th Disciple from Wu-Tang and Stoupe from Jedi Mind Tricks
150,45b5e210-3659-4726-9,6,0.3308,0.1009,,"rock, pop rock, alternative rock song about doo doo boy and his doo doo town"
151,97e26fe2-d45a-46b2-8,6,0.3305,0.074,,"an electronic rock, downtempo, art rock dark song about ending of humanity"
152,3f9b3ba7-7b13-4d04-8,6,0.3297,0.1263,,"Theme tune for the Game of Beef board-game, vocal, tv themes,"
153,61375a85-29d0-4b45-9,6,0.3297,0.06,,"A sci-fi epic movie theme about a space pirate named “Vilde”, synth-pop,"
154,04834f9a-eb2e-48b4-9,6,0.3272,0.0575,,"A folk rock song about three working cocker spaniels name “Abby, Billie, and Punky”"
155,d2cf4cdf-f303-4ef9-9,7,0.3245,0.1088,,"a song about a cat plotting to take over the world ,electronic, punk"
156,024669e0-0876-403e-8,6,0.3236,0.0454,,a song about stubbing your toe in the style of drake
157,2c080e35-5332-4784-a,8,0.3229,0.1022,,Song about total eclipse of sun using music of Louis Capaldi someone you love song
158,bed541d5-46b8-4faa-b,6,0.3226,0.1037,,an r and b song about living in the countryside
159,3a5cb7e8-d45f-481e-b,6,0.3214,0.1093,,"A viennese song about having eaten way too much. And tipps how to feel better, e.g. drinking Schnaps or Coffee."
160,8399844f-3c3d-44c7-b,6,0.321,0.0732,,"Add male vocalist with Russian accent. A screaming incoherently punk song called ""5 minutes with Derrick"""
161,63da007b-14c8-431d-a,6,0.3155,0.1001,,"a song about the depth of a grandparent's advice, heavy metal"
162,9a496feb-6a67-4f22-a,7,0.3127,0.0932,,"pop rock, electronic, rock, male rock lead, synth-pop, male vocalist, catchy chorus"
163,77056edb-735f-4b6c-a,6,0.3104,0.0826,,"A day in the life of a professional imaginary friend, indie pop, twee pop"
164,b1c7f9c0-da77-440b-8,6,0.3088,0.0847,,A Beatles style song about two little kittens named rookie and Coco
165,754e03f6-9cc8-4deb-b,7,0.3082,0.0937,,"A song about a friend named Alf, who is in love again. Being 49 year old"
166,20965396-7e93-4354-8,6,0.3074,0.0762,,"A fun 60's cafeteria, fun and upbeat, twist, in the style of: Elvis Presley, Chubby Checker., rock and roll,"
167,e0aea9d2-f3fe-4e97-a,7,0.3073,0.0686,,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap"
168,12c3b33c-37c3-42e9-b,7,0.3057,0.1134,,"A song about April eight 2024 total solar eclipse and biblical conspiracy , hip hop,"
169,5de77170-9628-498c-8,7,0.3049,0.0943,,"acoustic guitar, mandolin, piano, acoustic bass, percussion, bossa nova, female singer,"
170,957d1ef7-7bd1-4d9a-a,6,0.3047,0.1095,,"a song about forgiving someone that wronged you, pop, funk,"
171,fb21d861-9397-4126-8,7,0.3043,0.1149,,"A song about the love between a human and an artificial intelligence, rock ballad"
172,e374a9d0-706d-4bf3-a,7,0.2991,0.0941,,"Heavy Metal Metellica-style version of Love Me tender with original lyrics, and sung for Astrid."
173,0d11dd6d-73de-4101-a,6,0.2954,0.0402,,write a slow down temp catchy riff that is heavy and easy to hum and tuned to c standard
174,2f52deb7-1947-4e11-9,6,0.2948,0.0628,,a 2000s emo song written from the perspective of Elon Musk about getting dumped by Grimes
175,56ea63b7-77b6-401b-a,6,0.294,0.0347,,Let it be a rap song about neymar the footballer
176,e7de29c9-e9dd-4a06-a,7,0.2939,0.0735,,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,"
177,cc598c82-8126-4cdf-9,6,0.2934,0.0515,,2000s 90s playstation jungle dnb glitch with ethereal jungle pads amen break
178,924be17b-f5f1-4628-9,6,0.2896,0.1306,,"the smiths, morrissey, post-punk, jangle pop, indie, 80s, minor, fast, alternative rock, guitar, rock"
179,bc7c0d0b-71ae-4afe-8,6,0.2812,0.074,,"Create music with k pop i dol newjeans style, and a meowing back groubd sound for a cute touch."
180,be7b3ab7-8a50-4437-8,6,0.276,0.0673,,tame impala song about the whole world creating music together
181,788859af-9004-4587-b,6,0.2746,0.0957,,"Electro pop, male voice, melodic, soul, hip hop rnb and dance hall,"
182,8760d63e-0eab-4d6e-9,7,0.2639,0.0882,,jingle about a story writing service in style of Elvis preslley
183,e0d3ac24-3ea6-4a85-a,6,0.2614,0.103,,"50s pop song about the Tim's hell wagon, a flat black hemi powered monster"
184,652ed6ff-5366-4dea-9,7,0.2598,0.0596,,"528hz healing frequency enlightenment awakening, sunrise, new age, meditative, house/pop,"
185,55300023-5c40-490e-9,6,0.2584,0.0574,,A big band song about how Eric Clancy is always right about AI
186,25e7176b-dcd9-4b4b-8,6,0.2558,0.1031,,"east coast hip hop, hip hop rnb and dance hall,"
187,e89bac5b-3b92-4554-b,7,0.2536,0.1282,,"rock, about a friend named Alf who is in love again at 49 years old"
188,122a5bd5-7657-4161-a,6,0.2374,0.0446,,"Train the Trainers _ AI Summer camp , pop, r&b,"
189,c7af0ea9-f546-4f26-b,6,0.2346,0.1114,,"Anthem in Finnish for the Nomadic Academy of Experimental Arts based in Harakka island, Helsinki Finland."
190,4edf7524-0d23-48f2-9,6,0.2313,0.0758,,Write a melodic yet comedic song with sombre tones about eating lots of sausage
191,43d604bc-f7ba-45f9-a,6,0.2283,0.0693,,"Lara my mother in law, smoking benson hedges in Loveland Colorado. Loves coors light and Taylor’s port. , country, oldies,"
192,8138a78a-f4ba-4f69-b,6,0.2192,0.0947,,Japanese pop anime opening uplifting for hero growing against adversity
193,92374983-b2b0-41a7-b,6,0.2185,0.1138,,"old school soul, deep soul, traditional black gospel, r&b/soul, motown, southern soul,"
194,58339466-2de5-4409-b,6,0.1678,0.061,,"old school soul, deep soul, traditional black gospel, r&b/soul, motown, southern soul,"
195,754ad4a8-b85d-430a-8,6,0.1503,0.1442,,"a jingle about the difference between probiotic, prebiotic, postbiotic and synbiotic"
196,858415cc-1335-476e-a,7,0.1457,0.0501,,Compose a rhyme or song on the prevention of Ringworm
197,189707c6-89e6-4846-9,6,0.1364,0.04,,"Riding a bike, delicately smelling the fragrance of osmanthus flowers."
198,c2eccd6c-3c7f-4e67-9,6,0.084,0.0539,,"There’s Hiroshima-style okonomiyaki, but there is no such thing as ‘Hiroshimayaki., blues,"
199,814b22e6-1017-444c-b,6,0.0831,0.0342,,Ariel de zeemeermin is ride out captain on her motorbike
200,9a12553b-7ae1-4e35-9,8,0.0798,0.0698,,Carrie is off school sick with a bad cough but can play PlayStation
