song_id,respondent,prompt,description,similarity
e7de29c9-e9dd-4a06-a,28,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,","Soft piano in the background, english speaking/poetry by male. Not a typical song.",0.2963
e7de29c9-e9dd-4a06-a,33,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,",Soft song interlude feeling with a man talking rather than singing.,0.2853
e7de29c9-e9dd-4a06-a,42,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,","soft, techno, deep male voiceover speaking poetry over the music, conversational lines about looking into romantic partner's eyes",0.3869
e66caf62-70ce-418a-8,1,"hip hop, song about having to eat the wrong brand of baked beans","This is a J Cole song, and you can't convince me otherwise. ",0.394
e66caf62-70ce-418a-8,11,"hip hop, song about having to eat the wrong brand of baked beans",Jazz rap beat with a rapping lyrical aspect with a good steady beat,0.3907
e66caf62-70ce-418a-8,13,"hip hop, song about having to eat the wrong brand of baked beans",A rap/hip-hop beat that has lyrics with a rhythmic flow giving off an early 2000s chill rap ,0.4176
e66caf62-70ce-418a-8,30,"hip hop, song about having to eat the wrong brand of baked beans","The rhythm is straight ahead with four on the floor kick, claps on the offbeats, a side stick variation in the bridge, and a bright pluck that doubles the main motif with slight delay throws wide in the mix.",0.2177
e66caf62-70ce-418a-8,41,"hip hop, song about having to eat the wrong brand of baked beans","Chill rap or R&B with smooth flow and drum beat, ""baked beans""",0.6891
e66caf62-70ce-418a-8,44,"hip hop, song about having to eat the wrong brand of baked beans","A mimic of 90’s rap, similar to artists like Tupac and The Notorious B.I.G., where the beats are soulful and have a bass to it. This would could be music a person that is into rap with more lofi and chill rhythm.",0.3419
e374a9d0-706d-4bf3-a,9,"Heavy Metal Metellica-style version of Love Me tender with original lyrics, and sung for Astrid.",Rock song sounds very strong by a man screaming. Strong instrumentals,0.389
e374a9d0-706d-4bf3-a,19,"Heavy Metal Metellica-style version of Love Me tender with original lyrics, and sung for Astrid.",I hate this because i don't like how violent this and rough,0.1361
e374a9d0-706d-4bf3-a,31,"Heavy Metal Metellica-style version of Love Me tender with original lyrics, and sung for Astrid.","An intense rock song featuring aggressive electric guitar distortion, rapid drumming, and powerful vocals",0.3821
e374a9d0-706d-4bf3-a,33,"Heavy Metal Metellica-style version of Love Me tender with original lyrics, and sung for Astrid.",Grudge metal song with loud electric guitar parts and a harsh course man singing.,0.3399
e0d3ac24-3ea6-4a85-a,8,"50s pop song about the Tim's hell wagon, a flat black hemi powered monster","This is slow music with simple instruments in ht ebackground, emphasis is on the singer and their vocal strengths as well as the lyrics.",0.3661
e0d3ac24-3ea6-4a85-a,21,"50s pop song about the Tim's hell wagon, a flat black hemi powered monster","A melancholic song: slow-paced drums, a chorus to create a rhythm, while the lead singer cries about a heartbreak.",0.2323
e0d3ac24-3ea6-4a85-a,25,"50s pop song about the Tim's hell wagon, a flat black hemi powered monster","boring lame sad depressing annoying, out of tune, old fashioned",0.1213
e0d3ac24-3ea6-4a85-a,37,"50s pop song about the Tim's hell wagon, a flat black hemi powered monster","This sounds like calming music, seemingly like 90s music. Like Captain America dancing with Peggy in Avengers or driving a convertible down the highway, ",0.3243
e0d3ac24-3ea6-4a85-a,46,"50s pop song about the Tim's hell wagon, a flat black hemi powered monster","harmonies, guitar, male singers, romantic chill vibes. Beach music vibes. ",0.1682
e0cf5438-5034-4112-8,10,"A hip hop, reggaeton, greatest hits, eminem, pop rap, Kendrick Lamar, west coast hip hop song","This is very relaxing music that I could imagine softly being played in a waiting room at a spa. Male singer, RNB, singing a love song",0.355
e0cf5438-5034-4112-8,20,"A hip hop, reggaeton, greatest hits, eminem, pop rap, Kendrick Lamar, west coast hip hop song","Feminine male voice, slow music, would be good for dancing, hint of saxophone, could be in an older movie",0.2825
e0cf5438-5034-4112-8,25,"A hip hop, reggaeton, greatest hits, eminem, pop rap, Kendrick Lamar, west coast hip hop song","nice, groovy, upbeat, uplifting, happy, reminiscing, nostalgic, yay, woohoo, good",0.3812
e0cf5438-5034-4112-8,37,"A hip hop, reggaeton, greatest hits, eminem, pop rap, Kendrick Lamar, west coast hip hop song",This sounds like what would be in a modeling audition/ during a makeover scene in a move.,0.1329
e0aea9d2-f3fe-4e97-a,0,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap","convertable with the music blaring super loud, something that old school kids back in the day would listen to ",0.2768
e0aea9d2-f3fe-4e97-a,5,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap",This music can be described as rock and it has a very upbeat tune.,0.2314
e0aea9d2-f3fe-4e97-a,17,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap","A laid-back and stylish 1990s-inspired music style featuring smooth beats, relaxed grooves, and a blend of pop, hip-hop, and R&B influences that create a cool and effortless vibe.",0.282
e0aea9d2-f3fe-4e97-a,27,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap","Upbit. The track features an Indian-style melody, but the structure is classic American hip-hop. It feels like the rap is about to end and a female vocalist is about to come in. ",0.3443
e0aea9d2-f3fe-4e97-a,38,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap",Old 90s rap. I feel like it's something the prince of Belair would listen to.,0.3706
e0aea9d2-f3fe-4e97-a,48,"write a song about speed running banjo kazooie on the nintendo 64, rare, male vocalist, rhythmic, rap","90s hip hop beat and male rapper, white rapper and ends with a sample",0.4095
df09d518-7cb4-43d2-b,7,"melomandiz beats intro, rage phonk beat, playboi carti, mad 808s",Rap song with heavy bass and beat line that decrescendos underneath male voice.,0.4447
df09d518-7cb4-43d2-b,14,"melomandiz beats intro, rage phonk beat, playboi carti, mad 808s","e yourself with the task and the level of detail required for this study. With your own word, describe the music in sufficient detail that the description could be used to distinguish the musical example from another on",0.2461
df09d518-7cb4-43d2-b,29,"melomandiz beats intro, rage phonk beat, playboi carti, mad 808s",Sounds like rap music and the man has no flow. this is a unique flow. ,0.3775
df09d518-7cb4-43d2-b,41,"melomandiz beats intro, rage phonk beat, playboi carti, mad 808s",Rap by a deep voiced male with electronic and layered sounds ,0.4568
df09d518-7cb4-43d2-b,43,"melomandiz beats intro, rage phonk beat, playboi carti, mad 808s",Nice flowing beat leading to a rap verse very car ride with friends kind of song,0.4065
df0117f3-743c-460c-9,6,"male vocalist, concept album, hard rock, warm, in the style of green day",This is. rock song. There is a man singing in Spaniosh and there is drumns and the electric guitar in the background. So it must be like Spanish rock. ,0.2593
df0117f3-743c-460c-9,17,"male vocalist, concept album, hard rock, warm, in the style of green day","A rock style inspired by the 2000s, featuring driving guitar riffs, steady drum patterns, and energetic vocals that create a bold and mainstream rock sound.",0.4287
df0117f3-743c-460c-9,29,"male vocalist, concept album, hard rock, warm, in the style of green day",Hard rock in a different language that I am unfamiliar with. I hear drums as well. ,0.3874
df0117f3-743c-460c-9,35,"male vocalist, concept album, hard rock, warm, in the style of green day","Steady mid-tempo rhythm with syncopated percussion, layered synth chords, and a melodic vocal line rising into an energetic, catchy chorus.",0.2728
df0117f3-743c-460c-9,46,"male vocalist, concept album, hard rock, warm, in the style of green day","rock, strong guitar and drums, male spanish singer, upbeat pop rock. ",0.5223
db477bec-7b99-4ca2-8,8,"A song about a man named Dude working for the county for feline emotional well being., blues, delta blues,",This music is very slow and features only one guitar as the instrument.,0.386
db477bec-7b99-4ca2-8,21,"A song about a man named Dude working for the county for feline emotional well being., blues, delta blues,","A song with no drums, only guitar strings being plucked for instruments. A male sings with a calm tone, changing the singing rhytm, telling a story.",0.4728
db477bec-7b99-4ca2-8,22,"A song about a man named Dude working for the county for feline emotional well being., blues, delta blues,","Single drum, country song. Man singing about experience with cats and worn shoes. Very slow .",0.6045
db477bec-7b99-4ca2-8,38,"A song about a man named Dude working for the county for feline emotional well being., blues, delta blues,","Smooth guitar, sounds like a sad old country song telling a forgotten tale from the old west. Very gloomy, even the singing has a sad tone.",0.473
db477bec-7b99-4ca2-8,42,"A song about a man named Dude working for the county for feline emotional well being., blues, delta blues,","Acoustic guitar and male singer, feels very folk/blues and has a storytelling element about hard work",0.5173
d69d66d4-df72-4002-8,6,"Amazing Grace, gospel, r&b, emotional, buildup, epic ending, orchestra, high violins, brass, film score, triumphant,","This is an opera. There is a main man singing and another in the background, but quieter. There is dramatic music, such as violins, drums, trombones, and it gets really fast towards the end. It would be a good somng for a dramatic movie ending.",0.3432
d69d66d4-df72-4002-8,15,"Amazing Grace, gospel, r&b, emotional, buildup, epic ending, orchestra, high violins, brass, film score, triumphant,","High pitched orchestra like singing, mostly male vocals that stand out.",0.4104
d69d66d4-df72-4002-8,29,"Amazing Grace, gospel, r&b, emotional, buildup, epic ending, orchestra, high violins, brass, film score, triumphant,",Seems to be a man singing opra. With a pano in the back and other instruments. ,0.2402
d69d66d4-df72-4002-8,33,"Amazing Grace, gospel, r&b, emotional, buildup, epic ending, orchestra, high violins, brass, film score, triumphant,",Choir sounding melody with a strong deep voiced man and accompanied by a orchestra and string section.,0.4632
d2cf4cdf-f303-4ef9-9,0,"a song about a cat plotting to take over the world ,electronic, punk",rock/heavy metal and a lot of screaming and loud music. ,0.2523
d2cf4cdf-f303-4ef9-9,6,"a song about a cat plotting to take over the world ,electronic, punk","This is a rock song, there are drums and an electric guitar. A man is singing a song very loudly, like he is screaming and not singing. Lots of repeated guitar sounds at the end.",0.3712
d2cf4cdf-f303-4ef9-9,18,"a song about a cat plotting to take over the world ,electronic, punk","Rock/Pop-rock music, strong male singing voice. Heavy, electric guitar sounds in the background.",0.4024
d2cf4cdf-f303-4ef9-9,25,"a song about a cat plotting to take over the world ,electronic, punk",music is too shrill it is very heavy bass and it is annoying and frustrating,0.1086
d2cf4cdf-f303-4ef9-9,32,"a song about a cat plotting to take over the world ,electronic, punk","rock style music that seems meant to overwhelmed, intense rock and roll guitar",0.3497
d2cf4cdf-f303-4ef9-9,42,"a song about a cat plotting to take over the world ,electronic, punk","guitar prominent and intense, yelling male singer, drums prominent but not as prominent as guitar, arrogant lyrics being yelled",0.3739
